data_code,corrnug,m,order_fun,neighbor_fun
bang_As_Fe,TRUE,30,order_completely_random,nearest_multi_any
bang_As_Mn,TRUE,30,order_completely_random,nearest_multi_any
bang_As_P,TRUE,30,order_completely_random,nearest_multi_any
bang_Fe_Mn,TRUE,30,order_completely_random,nearest_multi_any
bang_Fe_P,TRUE,30,order_completely_random,nearest_multi_any
bang_Mn_P,TRUE,30,order_completely_random,nearest_multi_any
bang_As_Fe_Mn,TRUE,30,order_completely_random,nearest_multi_any
bang_As_Fe_P,TRUE,30,order_completely_random,nearest_multi_any
bang_As_Mn_P,TRUE,30,order_completely_random,nearest_multi_any
bang_Fe_Mn_P,TRUE,30,order_completely_random,nearest_multi_any
bang_As_Fe_Mn_P,TRUE,30,order_completely_random,nearest_multi_any
goes01_1_2,TRUE,30,order_completely_random,nearest_multi_any
goes01_1_3,TRUE,30,order_completely_random,nearest_multi_any
goes01_1_4,TRUE,30,order_completely_random,nearest_multi_any
goes01_2_3,TRUE,30,order_completely_random,nearest_multi_any
goes01_2_4,TRUE,30,order_completely_random,nearest_multi_any
goes01_3_4,TRUE,30,order_completely_random,nearest_multi_any
goes01_1_2_3,TRUE,30,order_completely_random,nearest_multi_any
goes01_1_2_4,TRUE,30,order_completely_random,nearest_multi_any
goes01_1_3_4,TRUE,30,order_completely_random,nearest_multi_any
goes01_2_3_4,TRUE,30,order_completely_random,nearest_multi_any
goes01_1_2_3_4,TRUE,30,order_completely_random,nearest_multi_any
